function_name,execution_time,memory_used_mb,memory_peak_mb,timestamp
walk_forward_analysis,86.61681985855103,27.01171875,152.16796875,2025-07-27 08:19:29.140552
pair_selection,2.2966527938842773,19.08984375,144.29296875,2025-07-27 08:18:04.820819
pair_selection,2.0244386196136475,0.77734375,146.14453125,2025-07-27 08:18:07.878120
pair_selection,1.904604196548462,0.19140625,146.79296875,2025-07-27 08:18:11.242036
pair_selection,1.8011343479156494,0.0234375,146.90625,2025-07-27 08:18:13.726267
pair_selection,2.047065496444702,0.08984375,147.0859375,2025-07-27 08:18:16.235265
pair_selection,1.7685303688049316,0.0234375,147.33203125,2025-07-27 08:18:18.577691
pair_selection,2.3069629669189453,0.171875,147.6640625,2025-07-27 08:18:21.746262
pair_selection,1.8433101177215576,0.4765625,148.42578125,2025-07-27 08:18:24.329423
pair_selection,1.8115904331207275,0.0234375,148.60546875,2025-07-27 08:18:26.469081
pair_selection,2.539558172225952,0.140625,148.7734375,2025-07-27 08:18:29.458320
pair_selection,2.457355260848999,0.08984375,148.90234375,2025-07-27 08:18:32.394458
pair_selection,2.6600470542907715,0.03515625,148.96875,2025-07-27 08:18:35.544520
pair_selection,2.182898998260498,0.0234375,149.19140625,2025-07-27 08:18:38.498661
pair_selection,2.2683041095733643,0.203125,149.42578125,2025-07-27 08:18:41.597266
pair_selection,2.038930892944336,0.01171875,149.44921875,2025-07-27 08:18:43.842888
pair_selection,2.02705717086792,0.0234375,149.50390625,2025-07-27 08:18:46.281456
pair_selection,1.8078083992004395,0.0234375,149.546875,2025-07-27 08:18:48.299739
pair_selection,1.847050666809082,0.01953125,149.6484375,2025-07-27 08:18:50.423165
pair_selection,1.9711012840270996,0.01953125,149.890625,2025-07-27 08:18:52.949617
pair_selection,2.330531120300293,0.0234375,149.97265625,2025-07-27 08:18:55.960686
pair_selection,2.032244920730591,0.03125,150.0625,2025-07-27 08:18:58.504369
pair_selection,2.057393789291382,-0.0234375,150.31640625,2025-07-27 08:19:01.227180
pair_selection,2.040602207183838,0.01953125,150.33984375,2025-07-27 08:19:04.007060
pair_selection,1.8082468509674072,0.01953125,150.4140625,2025-07-27 08:19:06.208051
pair_selection,1.9225592613220215,0.0234375,150.58203125,2025-07-27 08:19:08.884157
pair_selection,2.0587706565856934,0.15234375,150.7578125,2025-07-27 08:19:11.340913
pair_selection,1.9225764274597168,0.01953125,150.80859375,2025-07-27 08:19:13.592721
pair_selection,1.901531457901001,0.0078125,150.90625,2025-07-27 08:19:15.835693
pair_selection,1.8562352657318115,0.06640625,151.21484375,2025-07-27 08:19:18.655447
pair_selection,2.3094322681427,0.015625,151.2578125,2025-07-27 08:19:21.613946
pair_selection,1.7026712894439697,0.27734375,151.5625,2025-07-27 08:19:23.860474
pair_selection,2.0810787677764893,0.01953125,151.625,2025-07-27 08:19:26.229973
pair_selection,1.9837307929992676,0.0234375,151.75390625,2025-07-27 08:19:28.465990
model_fitting,0.011037349700927734,0.20703125,144.578125,2025-07-27 08:18:04.979036
model_fitting,0.014605522155761719,0.05078125,144.8046875,2025-07-27 08:18:05.009537
model_fitting,0.015940427780151367,0.02734375,144.83203125,2025-07-27 08:18:05.038176
model_fitting,0.009270906448364258,0.00390625,144.8359375,2025-07-27 08:18:05.058658
model_fitting,0.013078689575195312,0.03515625,144.875,2025-07-27 08:18:05.084233
