entry_date,exit_date,entry_price,exit_price,direction,pnl,holding_period
2023-04-13,2023-04-18,137.7523902107605,129.61869068788113,short,28.46794833007779,3
2023-04-26,2023-07-06,140.44673948777987,102.09815830939203,short,268.44006824871485,48
2023-03-30,2023-04-17,102.4679132783016,111.68749220579508,short,64.53705249245441,11
2023-04-19,2023-05-30,118.41728897500543,112.8935495909059,short,19.33308784434835,28
2023-05-25,2023-06-05,92.38302827683864,95.67518091974176,short,11.522534250160916,6
2023-06-08,2023-07-06,98.80413084415343,99.04262506768728,short,-0.8347297823684698,18
2023-03-30,2023-04-18,97.54060235546552,103.70193068950721,short,21.564649169145895,12
2023-04-27,2023-07-06,108.6708894006951,111.87811243136586,short,-11.225280607347663,47
2023-03-30,2023-04-19,107.73123877962516,113.12974670545728,short,18.894777740412422,13
2023-05-03,2023-06-15,107.16091052612774,106.63751749907956,short,-3.663751189337205,30
2023-04-05,2023-05-23,93.86186533835556,89.13871052057127,short,16.53104186224502,33
2023-06-08,2023-07-06,93.44412341686592,95.84354670303225,short,-8.397981501582137,18
2023-03-30,2023-04-05,142.57811959762142,148.6075800779725,short,21.103111681228768,4
2023-04-19,2023-05-23,157.26769780460154,148.62575643101292,short,30.24679480756018,24
2023-06-08,2023-06-16,143.01051836612857,148.8017367145596,short,20.269264219508656,6
2023-04-19,2023-05-22,170.05553029892462,161.07535420862587,short,62.86123263209129,23
2023-05-25,2023-06-15,153.55362466318746,159.12848359523625,short,19.512006262170743,14
2023-04-04,2023-06-08,172.6905801769095,165.5690958266416,short,-24.92519522593767,45
2023-06-13,2023-07-06,187.6581958914743,187.63948162206708,short,0.1309998858504855,15
2023-03-30,2023-07-06,-90.20702138840034,-131.2916606078282,short,-143.7962372679975,66
2023-03-30,2023-04-05,-10.394666144053431,-2.428179939061309,short,55.76540343494486,4
2023-04-19,2023-06-15,2.454579537467197,3.2496001385279385,short,-2.782572103712596,40
2023-07-06,2023-07-06,0.8887914791687876,0.8887914791687876,short,0.0,0
2023-09-29,2023-11-08,203.10893351037535,211.28083411718174,short,28.60165212382236,28
2023-11-16,2024-01-04,221.56308697909174,233.31356348125217,short,-41.126667757561535,32
2023-09-29,2023-11-10,127.22648710815777,129.79681500548472,short,17.992295281288634,30
2023-12-04,2024-01-04,137.32791909615673,134.99707215798125,short,8.157964283614191,21
2023-10-02,2023-11-21,677.4570078611214,663.1424890529697,short,-50.10081582853081,36
2023-12-13,2024-01-04,712.2132921508878,746.3242807075244,short,-238.7769198964561,14
2023-09-29,2023-11-20,175.86796689529766,174.5467266955291,short,-9.248681398379972,36
2023-12-01,2024-01-04,180.20494104920664,182.8235934389567,short,-9.165283364125187,22
2023-09-29,2023-11-21,121.8543317560703,117.47065390008125,short,-15.342872495961672,37
2023-12-14,2024-01-04,126.18894607505686,120.96628721812775,short,36.55861199850381,13
2023-09-29,2023-10-19,541.0849633937182,568.8737687499522,long,389.0432749872757,14
2023-11-22,2024-01-04,585.8578487884699,617.0627450024105,short,-109.2171367487918,28
2023-09-29,2023-10-26,84.26279900933228,90.3516098901748,short,42.62167616589761,19
2023-11-29,2024-01-04,94.49411664416748,100.40355822794501,short,-20.683045543221375,24
2023-10-10,2024-01-04,-12.855947356176785,-23.810707639508493,short,-38.34166099166098,59
2023-10-04,2023-10-11,-54.28910466537853,-61.36725941151292,short,24.773541611470357,5
2023-10-13,2023-10-18,-55.98158070936772,-61.22490162997988,short,18.35162322214257,3
2023-10-25,2023-10-27,-57.387925584848404,-60.52262830259164,short,10.971459512101333,2
2023-10-31,2023-11-09,-64.76517714789543,-62.527736146497446,short,7.831043504892939,7
2023-11-10,2024-01-04,-65.8336039301461,-99.55978458037119,short,-118.0416322757878,36
2023-09-29,2023-10-11,6.712290509474087,-0.9790997273680944,short,53.83973165789527,8
2023-10-23,2023-12-07,-7.371719328976354,-7.133020827135709,short,0.8354447564422571,32
2024-01-04,2024-01-04,-4.4276744432253565,-4.4276744432253565,short,-0.0,0
2023-09-29,2023-10-18,-2.567494343330452,-5.157902369579688,short,9.066428091872325,13
2023-12-20,2024-01-04,-2.1988273106035052,-2.0153633465595533,short,-0.6421238741538318,9
2023-09-29,2023-10-04,-18.61790846801881,-15.001357770749138,short,12.657927440443856,3
2023-10-12,2023-10-20,-12.734078124687613,-14.613537689107517,short,6.578108475469662,6
2023-10-31,2024-01-04,-17.379245368144268,-34.82915027823957,short,-61.074667185333546,44
2023-09-29,2023-11-03,-62.21937244263697,-56.94070169038855,short,18.475347632869457,25
2023-11-20,2024-01-04,-62.03742232861228,-87.76928303560874,short,-90.0615124744876,30
2024-04-02,2024-04-25,-0.44828118777732584,9.539394470024803,short,69.9137296046149,17
2024-05-03,2024-07-08,19.90588393520173,40.261048623294215,short,-71.2430764083237,43
2024-04-02,2024-04-24,53.7461415700315,66.39134962301034,short,44.258228185425956,16
2024-05-17,2024-06-24,71.04548047085315,56.53022511762987,short,50.803393736281485,24
2024-04-02,2024-07-08,61.21970363443607,113.19195928954166,short,181.90289479286955,66
2024-04-04,2024-06-03,140.45215154569996,154.7674481657768,short,50.103538170268976,41
2024-06-13,2024-07-08,168.3693196861629,179.05980227547923,short,-37.41668906260716,15
2024-04-03,2024-04-05,121.11716292804886,131.29219571228208,short,35.612614744816284,2
2024-04-25,2024-05-02,114.81384374082393,125.72675244874614,short,76.39036095545549,5
2024-05-14,2024-05-21,113.61907332078107,122.59464770250094,short,31.414510336019532,5
2024-06-05,2024-07-08,114.5932684815835,83.19560726151798,short,-109.8918142702293,21
2024-04-04,2024-06-03,37.32704458492958,2.46999941304324,short,121.9996581016022,41
2024-06-12,2024-07-08,-28.428097337826102,-99.0626058005389,short,-247.2207796194948,16
2024-04-16,2024-05-23,0.02672117404498664,0.5337911032594462,short,1.7747447522506086,27
2024-06-03,2024-07-08,1.403003882591058,1.773679914729989,short,-1.2973661124862588,23
2024-04-12,2024-06-11,239.92884971976434,239.22514903906207,short,-2.4629523824579422,41
2024-06-18,2024-06-25,258.16360465408746,240.6838498779473,short,61.17914171649059,4
2024-04-11,2024-05-03,257.43308512484043,264.8745019764333,short,26.044958980575018,16
2024-05-22,2024-06-12,245.38407829629594,262.0918635418535,short,58.47724835945151,14
2024-06-18,2024-06-25,270.8288986675927,256.502060065628,short,50.143935106876484,4
2024-04-10,2024-06-13,258.4812459840768,247.7433867211586,short,-37.58250742021367,45
2024-07-01,2024-07-08,234.35824155943524,236.303595911907,short,6.808740233651136,4
