pair,count,sum,mean,std
"('MRK', 'LLY')",1,-23.26913989328034,-23.26913989328034,
"('MRK', 'AMGN')",1,-23.605556009135285,-23.605556009135285,
"('BAC', 'BK')",2,-24.25185099126265,-12.125925495631325,28.848562848746106
"('LLY', 'TMO')",1,-25.898946911346684,-25.898946911346684,
"('UPS', 'RTX')",1,-27.94841463627494,-27.94841463627494,
"('MRK', 'TMO')",1,-31.181835150545304,-31.181835150545304,
"('AAPL', 'META')",1,-31.97070821147668,-31.97070821147668,
"('XOM', 'CVX')",2,-33.69482729261991,-16.847413646309956,32.57988158197619
"('MRK', 'ABT')",1,-35.398296639093985,-35.398296639093985,
"('JPM', 'AXP')",1,-38.590133374889085,-38.590133374889085,
"('ABT', 'TMO')",3,-45.179540449738,-15.059846816579332,49.6038992785758
"('EOG', 'SLB')",1,-47.42901756879682,-47.42901756879682,
"('PFE', 'LLY')",4,-53.04400669279835,-13.261001673199587,25.6459466546041
"('HON', 'UPS')",1,-54.12707084876024,-54.12707084876024,
"('UPS', 'LMT')",4,-64.893844648367,-16.22346116209175,31.92687185160578
"('MS', 'BK')",1,-67.90484027628347,-67.90484027628347,
"('HON', 'RTX')",2,-73.05682835887556,-36.52841417943778,3.335223444210567
"('TJX', 'F')",2,-75.58172824460743,-37.79086412230372,4.248851129845295
"('UPS', 'MMM')",2,-78.966896326868,-39.483448163434,61.73659456203683
"('HD', 'TJX')",1,-83.21354621747743,-83.21354621747743,
"('GE', 'RTX')",1,-83.83143474094439,-83.83143474094439,
"('HON', 'MMM')",1,-87.91101651190544,-87.91101651190544,
"('LOW', 'TJX')",1,-89.99810695525794,-89.99810695525794,
"('MSFT', 'ORCL')",1,-104.63320512382641,-104.63320512382641,
"('EOG', 'MPC')",3,-112.14902764051422,-37.38300921350474,91.59906261267926
"('CAT', 'BA')",1,-119.21741031186507,-119.21741031186507,
"('PFE', 'BMY')",2,-122.91763427253366,-61.45881713626683,19.741064346619037
"('HD', 'GM')",1,-133.68562180626998,-133.68562180626998,
"('SLB', 'PSX')",1,-142.87892436866943,-142.87892436866943,
"('GS', 'BK')",1,-146.9204833957259,-146.9204833957259,
"('TMO', 'AMGN')",2,-149.36047757253186,-74.68023878626593,335.71628274679233
"('HON', 'LMT')",2,-152.3724393071638,-76.1862196535819,141.77493300324065
"('MPC', 'PSX')",1,-201.07047820777848,-201.07047820777848,
"('XOM', 'PSX')",1,-278.60900388187906,-278.60900388187906,
"('NVDA', 'META')",1,-282.4954432502896,-282.4954432502896,
"('AMZN', 'HD')",1,-294.38931957744927,-294.38931957744927,
"('BA', 'GE')",3,-366.1551861216848,-122.05172870722826,62.50925437190052
"('AMZN', 'TJX')",1,-387.26770603523335,-387.26770603523335,
"('DE', 'RTX')",1,-570.1922657110665,-570.1922657110665,
"('DE', 'LMT')",2,-614.0417767540778,-307.0208883770389,295.27228645041873
