entry_date,exit_date,entry_price,exit_price,direction,gross_pnl,transaction_cost,net_pnl,holding_period,pair1,pair2,window_idx,train_start,test_start,beta
2022-04-14,2022-05-13,-13.68425231966495,-9.745379170369432,long,393.88731492955174,-0.2342963149003438,394.1216112444521,20,GOOGL,ORCL,0,2020-01-02,2021-12-31,1.838701171647835
2022-05-24,2022-06-02,-16.004012373595586,-11.645626537636588,long,435.8385835958998,-0.2764963891123217,436.11507998501213,6,GOOGL,ORCL,0,2020-01-02,2021-12-31,1.838701171647835
2022-06-14,2022-06-17,-18.233666540895598,-12.534769239843428,long,569.889730105217,-0.3076843578073903,570.1974144630244,3,GOOGL,ORCL,0,2020-01-02,2021-12-31,1.838701171647835
2022-04-14,2022-04-22,-18.904625063566584,-13.47333804457432,long,543.1287018992265,-0.32377963108140906,543.4524815303079,5,JPM,USB,0,2020-01-02,2021-12-31,2.9808469649879488
2022-05-20,2022-05-23,-18.02115109929599,-15.295447003961954,long,272.5704095334038,-0.33316598103257944,272.9035755144364,1,JPM,USB,0,2020-01-02,2021-12-31,2.9808469649879488
2022-04-19,2022-05-12,-5.434622516421044,-6.538872827991732,short,110.42503115706879,-0.11973495344412775,110.54476611051291,17,BAC,BK,0,2020-01-02,2021-12-31,0.9984276856710572
2022-05-20,2022-05-24,-8.517236218040829,-7.390384932829129,long,112.68512852116999,-0.15907621150869958,112.84420473267869,2,BAC,BK,0,2020-01-02,2021-12-31,0.9984276856710572
2022-06-07,2022-07-01,-8.364766642619877,-9.239823847921357,long,-87.50572053014807,-0.17604590490541233,-87.32967462524266,17,BAC,BK,0,2020-01-02,2021-12-31,0.9984276856710572
2022-03-29,2022-04-18,0.8916549572900436,3.6343332459814945,long,274.2678288691451,0.04525988203271539,274.22256898711237,13,BAC,SCHW,0,2020-01-02,2021-12-31,0.4477048250937874
2022-05-09,2022-05-27,5.9764303965679915,3.7205161636108777,short,225.59142329571137,0.09696946560178869,225.49445383010956,14,BAC,SCHW,0,2020-01-02,2021-12-31,0.4477048250937874
2022-06-30,2022-07-01,1.6558704527235548,1.7356058329592763,long,7.9735380235721465,0.03391476285682832,7.939623260715318,1,BAC,SCHW,0,2020-01-02,2021-12-31,0.4477048250937874
2022-03-31,2022-05-09,1.8207704937119118,2.1978280687220604,long,37.70575750101486,0.040185985624339726,37.66557151539052,26,BK,AXP,0,2020-01-02,2021-12-31,0.2393361745149209
2022-06-16,2022-07-01,5.782212498251617,6.092358320618828,short,-31.01458223672111,0.11874570818870446,-31.133327944909816,10,BK,AXP,0,2020-01-02,2021-12-31,0.2393361745149209
2022-05-09,2022-07-01,-111.94981161598156,-69.76790413767492,short,-4218.190747830664,-1.817177157536565,-4216.373570673128,37,GS,AXP,0,2020-01-02,2021-12-31,2.5630712432592846
2022-04-05,2022-07-01,9.04380810276458,3.302232172226269,long,-574.1575930538311,0.1234604027499085,-574.2810534565809,60,BAC,GS,0,2020-01-02,2021-12-31,0.09339574726800995
2022-04-25,2022-05-03,30.379259469017256,22.822833434056207,short,755.6426034961049,0.5320209290307346,755.1105825670742,6,AXP,USB,0,2020-01-02,2021-12-31,3.3558515681364725
2022-05-12,2022-07-01,7.292153713610219,-0.12022947263639594,long,-741.2383186246615,0.07171924240973823,-741.3100378670712,34,AXP,USB,0,2020-01-02,2021-12-31,3.3558515681364725
2022-03-29,2022-04-13,-131.99812113754422,-99.89982427618588,long,3209.8296861358335,-2.318979454137301,3212.1486655899707,11,UNH,ABBV,0,2020-01-02,2021-12-31,4.335470700256179
2022-04-29,2022-05-05,-80.6059755561214,-114.07687265840184,short,3347.0897102280446,-1.9468284821452326,3349.0365387101897,4,UNH,ABBV,0,2020-01-02,2021-12-31,4.335470700256179
2022-05-12,2022-05-20,-137.29260005570177,-118.12552206238149,long,1916.7077993320277,-2.5541812211808326,1919.2619805532086,6,UNH,ABBV,0,2020-01-02,2021-12-31,4.335470700256179
2022-06-10,2022-06-24,-89.2028782921301,-112.13838340209043,short,2293.550510996033,-2.0134126169422055,2295.5639236129755,9,UNH,ABBV,0,2020-01-02,2021-12-31,4.335470700256179
2022-04-25,2022-06-17,38.271534932548235,42.59868416815658,short,-432.71492356083456,0.8087021910070482,-433.5236257518416,38,CAT,DE,0,2020-01-02,2021-12-31,0.4487212396137325
