date,daily_pnl,portfolio_value,daily_return,cumulative_return_pct
2022-03-29,0.0,100000.0,0.0,0.0
2022-03-30,426.9114625123688,100426.91146251236,0.004269114625123688,0.42691146251236933
2022-03-31,-379.7193190557451,100047.19214345662,-0.003797193190557451,0.04719214345660916
2022-04-01,15.429507945484627,100062.6216514021,0.00015429507945484628,0.06262165140211717
2022-04-04,97.20014929981531,100159.82180070192,0.000972001492998153,0.1598218007019092
2022-04-05,106.94014987001736,100266.76195057193,0.0010694014987001736,0.2667619505719365
2022-04-06,-758.4882374842276,99508.2737130877,-0.007584882374842276,-0.49172628691229736
2022-04-07,-1192.8937615565846,98315.37995153113,-0.011928937615565847,-1.6846200484688767
2022-04-08,156.95174975584152,98472.33170128697,0.0015695174975584151,-1.5276682987130363
2022-04-11,1254.459516567534,99726.79121785451,0.012544595165675338,-0.2732087821454954
2022-04-12,609.1919183707862,100335.98313622529,0.006091919183707862,0.33598313622529297
2022-04-13,2704.6677681903598,103040.65090441566,0.027046677681903598,3.0406509044156538
2022-04-14,-309.64319796099596,102731.00770645465,-0.0030964319796099597,2.7310077064546467
2022-04-18,842.0513672331317,103573.0590736878,0.008420513672331317,3.57305907368779
2022-04-19,173.31436921773735,103746.37344290552,0.0017331436921773735,3.746373442905515
2022-04-20,-278.00586522833464,103468.36757767719,-0.0027800586522833464,3.4683675776771894
2022-04-21,-287.44767553519,103180.91990214199,-0.0028744767553519,3.1809199021419987
2022-04-22,98.95314839121943,103279.87305053322,0.0009895314839121943,3.2798730505332108
2022-04-25,216.04908711001343,103495.92213764323,0.0021604908711001345,3.495922137643226
2022-04-26,781.9198319150612,104277.8419695583,0.007819198319150612,4.277841969558294
2022-04-27,-970.5872276916991,103307.25474186659,-0.009705872276916992,3.3072547418665943
2022-04-28,79.1196616659363,103386.37440353254,0.0007911966166593631,3.3863744035325327
2022-04-29,324.136039206913,103710.51044273944,0.0032413603920691298,3.7105104427394453
2022-05-02,1598.411376306007,105308.92181904546,0.01598411376306007,5.3089218190454535
2022-05-03,1273.486639523878,106582.40845856932,0.01273486639523878,6.582408458569322
2022-05-04,-377.5358108144753,106204.87264775485,-0.003775358108144753,6.204872647754844
2022-05-05,1561.0426897586292,107765.91533751348,0.015610426897586292,7.765915337513474
2022-05-06,45.26253798309699,107811.17787549658,0.0004526253798309699,7.811177875496589
2022-05-09,192.47779276942612,108003.655668266,0.0019247779276942612,8.003655668265996
2022-05-10,1091.0016508981491,109094.65731916415,0.010910016508981492,9.094657319164146
2022-05-11,231.69421795901468,109326.35153712316,0.002316942179590147,9.326351537123156
2022-05-12,-1295.077416356178,108031.27412076699,-0.01295077416356178,8.031274120766984
2022-05-13,2632.2200096835213,110663.4941304505,0.026322200096835214,10.663494130450513
2022-05-16,-576.4283279613171,110087.06580248919,-0.005764283279613171,10.087065802489192
2022-05-17,898.1723217434451,110985.23812423264,0.008981723217434451,10.985238124232644
2022-05-18,-2687.09552238489,108298.14260184775,-0.0268709552238489,8.298142601847758
2022-05-19,-2.1057846120121724,108296.03681723574,-2.1057846120121723e-05,8.296036817235741
2022-05-20,-722.734737927264,107573.30207930847,-0.00722734737927264,7.573302079308464
2022-05-23,1770.1169863162295,109343.41906562471,0.017701169863162294,9.343419065624703
2022-05-24,-967.3546584865005,108376.0644071382,-0.009673546584865005,8.376064407138205
2022-05-25,1082.4675814550608,109458.53198859325,0.010824675814550608,9.458531988593254
2022-05-26,687.7974025045103,110146.32939109777,0.0068779740250451025,10.146329391097764
2022-05-27,1251.9813719210547,111398.31076301883,0.012519813719210546,11.398310763018827
2022-05-31,-290.3918746825101,111107.91888833631,-0.002903918746825101,11.107918888336311
2022-06-01,-363.9042788749647,110744.01460946136,-0.003639042788749647,10.744014609461349
2022-06-02,899.6389546452269,111643.65356410659,0.00899638954645227,11.643653564106593
2022-06-03,-366.0331302828244,111277.62043382376,-0.003660331302828244,11.277620433823765
2022-06-06,-588.9349603413407,110688.68547348242,-0.005889349603413407,10.688685473482407
2022-06-07,-119.54674638726425,110569.13872709515,-0.0011954674638726425,10.569138727095151
2022-06-08,-805.7803267507268,109763.35840034443,-0.008057803267507267,9.763358400344435
2022-06-09,-384.8434410807398,109378.51495926369,-0.003848434410807398,9.378514959263695
2022-06-10,550.3641078174071,109928.87906708108,0.005503641078174071,9.928879067081088
2022-06-13,-1595.8988759226565,108332.98019115844,-0.015958988759226564,8.332980191158445
2022-06-14,-95.7833808724871,108237.19681028595,-0.000957833808724871,8.237196810285962
2022-06-15,267.0378168966827,108504.23462718262,0.0026703781689668272,8.504234627182615
2022-06-16,-682.0825835402013,107822.15204364243,-0.006820825835402013,7.822152043642427
2022-06-17,4406.094387837,112228.24643147943,0.04406094387837,12.22824643147944
2022-06-21,-1718.3428522629074,110509.90357921652,-0.017183428522629073,10.509903579216529
2022-06-22,413.82897178413174,110923.73255100066,0.0041382897178413175,10.923732551000654
2022-06-23,-998.8266581750297,109924.90589282563,-0.009988266581750296,9.92490589282562
2022-06-24,587.7959898548966,110512.70188268053,0.005877959898548966,10.51270188268052
2022-06-27,-274.1083972363069,110238.59348544422,-0.0027410839723630695,10.238593485444225
2022-06-28,-397.07820544582194,109841.51527999839,-0.003970782054458219,9.841515279998392
2022-06-29,-964.4629943536388,108877.05228564475,-0.009644629943536388,8.877052285644748
2022-06-30,608.895047880231,109485.947333525,0.00608895047880231,9.48594733352499
2022-07-01,111.62764218757599,109597.57497571256,0.0011162764218757598,9.597574975712565
2022-07-05,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-06,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-07,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-08,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-11,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-12,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-13,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-14,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-15,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-18,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-19,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-20,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-21,0.0,109597.57497571256,0.0,9.597574975712565
2022-07-22,0.0,109597.57497571256,0.0,9.597574975712565
