entry_date,exit_date,entry_price,exit_price,direction,gross_pnl,transaction_cost,net_pnl,holding_period
2023-03-31,2023-04-04,133.58266568288494,131.0536568342336,short,5.811995598700059,0.30408457102589453,5.507911027674164,2
2023-03-31,2023-04-04,197.87481444400896,195.65046997514816,short,3.4594046479241993,0.3060144723655469,3.1533901755586524,2
2023-03-31,2023-04-04,5.747108356158197,4.5435875177023455,short,-0.5223052000130071,0.0022329833414292495,-0.5245381833544364,2
2023-07-03,2023-07-06,145.77091050066147,143.38914941345598,short,16.833573324558177,1.0218483073818843,15.811725017176293,2
2023-07-03,2023-07-06,125.24441744565284,121.03120988526271,short,7.879372807900383,0.23028742987683942,7.6490853780235435,2
2023-07-03,2023-07-06,43.28168529501484,42.36706183604575,short,1.5684526515589154,0.0734378739267342,1.4950147776321812,2
2023-07-03,2023-07-06,114.88796155559629,115.35230138258038,short,-3.2627832792115887,0.8089162682805007,-4.07169954749209,2
2023-10-03,2023-10-04,11.496110623710393,12.620892213603547,short,0.533413171203457,0.005718588870483034,0.527694582332974,1
2023-10-02,2023-10-04,112.13108849092332,106.81410157614846,short,-34.486720219198475,0.7100545510278035,-35.19677477022628,2
2023-10-02,2023-10-04,371.3860963693635,369.9268571327185,short,4.895831327668156,1.2435737369926194,3.6522575906755366,2
2023-10-02,2023-10-04,8.36972990308653,7.495141981153374,short,-1.0603358394940088,0.009617153304985911,-1.0699529927989946,2
2024-01-02,2024-01-04,-462.03813469036504,-454.7828260833654,short,6.468845420753626,-0.40871955936032295,6.877564980113949,2
2024-01-02,2024-01-04,305.24132748982646,302.3125039677007,short,12.282481555763919,1.273936219208358,11.00854533655556,2
2024-01-02,2024-01-04,12.204626969477431,11.085116181063896,short,0.25083039968652293,0.0026090751618951125,0.2482213245246278,2
2024-01-02,2024-01-04,307.21483372988496,308.9000219456086,short,3.5247232579090375,0.6443299155192987,2.8803933423897385,2
2024-01-02,2024-01-04,-19.758606610721188,-20.550959085730113,short,-0.12199078258905431,-0.0031030353411085126,-0.1188877472479458,2
2024-04-03,2024-04-05,555.9303257381413,549.827623291037,short,-62.72590511538204,5.682701130569969,-68.40860624595202,2
2024-04-03,2024-04-05,604.0614452861894,599.3721327096089,short,-51.98091115645865,6.670015367808443,-58.65092652426709,2
2024-04-03,2024-04-05,-6.442304963643242,-6.800237227035776,short,-0.20368455665202592,-0.00376789355266383,-0.1999166630993621,2
2024-04-03,2024-04-05,56.060471647498595,55.039624628499865,short,-3.0583384776363194,0.1664214583509542,-3.2247599359872736,2
2024-04-03,2024-04-05,44.292851299923555,45.770436608671005,short,-9.263706948638836,0.28232546069484166,-9.546032409333678,2
2024-04-03,2024-04-05,57.26009123182362,58.63970617984033,short,-7.457058306338684,0.31322926307592897,-7.770287569414613,2
