date,AAPL,ABBV,ABT,ADBE,AMGN,AMZN,AVGO,AXP,BA,BAC,BK,BKR,BMY,C,CAT,COP,CSCO,CVX,DE,EOG,F,GE,GM,GOOGL,GS,HAL,HD,HON,INTC,JNJ,JPM,LLY,LMT,LOW,MCD,META,MMM,MPC,MRK,MS,MSFT,NKE,NVDA,ORCL,PFE,PSX,RTX,SBUX,SCHW,SLB,TGT,TJX,TMO,UNH,UNP,UPS,USB,VLO,WFC,XOM
2016-01-04,23.803165435791016,38.28493118286133,35.71757125854492,91.97000122070312,119.42385864257812,31.84950065612793,10.91613483428955,58.691505432128906,126.00507354736328,13.338834762573242,31.24744415283203,25.749174118041992,48.83695602416992,38.67346954345703,53.56343460083008,35.099456787109375,19.671083450317383,59.22237777709961,64.8637466430664,52.283729553222656,8.274697303771973,130.36048889160156,26.922033309936523,37.7456283569336,145.85498046875,28.808597564697266,104.55005645751952,80.33147430419922,26.86278915405273,77.21993255615234,49.10585784912109,70.05606079101562,165.67007446289062,63.26002502441406,93.25023651123048,101.66226959228516,89.06255340576172,37.78326416015625,37.44369888305664,24.025793075561523,48.15229415893555,54.77722930908203,0.7896761894226074,30.91347312927246,20.38779640197754,55.98004913330078,47.843997955322266,47.9859504699707,28.36404609680176,52.882625579833984,55.949928283691406,30.96738624572754,135.05284118652344,100.51544952392578,63.89051055908203,68.19506072998047,29.47365379333496,47.55901336669922,40.34123992919922,50.89173889160156
2016-01-05,23.206674575805664,38.125450134277344,35.709232330322266,92.33999633789062,119.2956771850586,31.68950080871582,10.550929069519045,57.7884521484375,126.51632690429688,13.338834762573242,31.13017845153809,25.024389266967773,49.79868316650391,38.46923065185547,53.00408935546875,35.488773345947266,19.58170318603516,59.72895812988281,65.23885345458984,52.62138366699219,8.126620292663574,130.4879150390625,26.210790634155277,37.84951019287109,143.34361267089844,28.74176979064941,104.0395278930664,80.98932647705078,26.736330032348636,77.54270935058594,49.190765380859375,71.10430145263672,169.5940399169922,63.39448547363281,94.53504180908205,102.16948699951172,89.45079803466797,37.31134414672852,37.92173385620117,23.873159408569336,48.37196350097656,55.54297256469727,0.8023618459701538,30.81833839416504,20.534563064575195,56.62317657470703,47.9190788269043,48.30717849731445,28.27535057067871,53.12723922729492,56.93124008178711,31.452682495117188,134.81919860839844,100.70530700683594,63.27564239501953,68.87097930908203,29.61576461791992,48.38860702514648,40.325984954833984,51.32537460327149
2016-01-06,22.75252723693848,38.1320915222168,35.40971755981445,91.0199966430664,118.20204162597656,31.63249969482422,10.226393699645996,56.18368148803711,124.50737762451172,13.054682731628418,30.348413467407227,23.7873477935791,48.92436981201172,37.90951156616211,52.16901016235352,33.95394515991211,19.37314987182617,57.36938095092773,64.50565338134766,50.5129280090332,7.76530647277832,128.40785217285156,25.273250579833984,37.74015808105469,139.84422302246094,27.92296028137207,102.9626922607422,80.0730209350586,26.14359664916992,77.15078735351562,48.48065948486328,70.65626525878906,169.10455322265625,62.13398361206055,93.90056610107422,102.4081802368164,87.64915466308594,35.92506790161133,37.40090560913086,23.277856826782227,47.49327850341797,54.7505111694336,0.7691843509674072,30.973995208740234,20.17083740234375,54.54701232910156,46.61747741699219,47.87888717651367,27.30860137939453,51.75128936767578,56.35310745239258,30.643848419189453,133.78749084472656,99.67825317382812,60.54108047485352,67.8930435180664,29.168115615844727,48.04861831665039,39.55590057373047,50.8983154296875
2016-01-07,21.79225730895996,38.01912689208984,34.56108474731445,89.11000061035156,115.3812255859375,30.39699935913086,9.90108871459961,55.67784118652344,119.28782653808594,12.583806037902832,29.582263946533203,23.171545028686523,47.56922149658203,35.97320556640625,50.37278747558594,32.98810577392578,18.92624855041504,55.3364372253418,63.9344482421875,49.117305755615234,7.5224528312683105,122.97444152832033,24.23872375488281,36.82912063598633,135.54612731933594,27.496849060058597,100.02729034423828,77.71564483642578,25.163604736328125,76.25161743164062,46.52012252807617,68.82181549072266,165.73223876953125,60.56255722045898,91.72752380371094,97.3857421875,85.51390838623047,35.38679504394531,37.07268524169922,22.11777687072754,45.84133529663086,53.29027557373047,0.7386898994445801,30.29951477050781,20.036834716796875,53.44248580932617,46.00673675537109,46.69282150268555,25.88064193725586,50.59702301025391,56.20095443725586,30.60012626647949,130.73110961914062,96.74373626708984,59.12523651123047,66.58439636230469,28.61389923095703,49.02099990844727,38.4274787902832,50.08362579345703
2016-01-08,21.907501220703125,36.98241424560547,33.837257385253906,87.8499984741211,113.6691436767578,30.352500915527344,9.835874557495115,55.49468231201172,116.57941436767578,12.34024715423584,29.042848587036133,22.65928077697754,46.359771728515625,34.8915901184082,49.86071395874024,32.41158676147461,18.457008361816406,54.743202209472656,62.88578414916992,49.16231155395508,7.427680492401123,120.7670669555664,23.86693954467773,36.327632904052734,134.98626708984375,27.12086677551269,98.83077239990234,77.08906555175781,24.902795791625977,75.43699645996094,45.47810745239258,68.6865234375,165.43692016601562,59.56255340576172,91.58477783203124,96.79895782470705,85.22274017333984,34.05950164794922,36.44482421875,21.65985107421875,45.9819221496582,52.41767120361328,0.7228330373764038,29.9622745513916,19.781587600708008,52.57567596435547,45.255802154541016,46.64340591430664,25.720993041992188,49.74850463867188,54.2991828918457,29.262266159057617,130.58509826660156,95.07797241210938,59.75629425048828,65.71432495117188,28.20888900756836,46.416622161865234,37.787017822265625,49.07182312011719
2016-01-11,22.26222801208496,35.806156158447266,33.887168884277344,89.37999725341797,111.39138793945312,30.886999130249023,9.823598861694336,55.86099624633789,116.77670288085938,12.429553031921388,29.25391387939453,22.62112617492676,45.88618850708008,35.436180114746094,48.42689514160156,30.78689956665039,18.82197952270508,53.836708068847656,63.21827697753906,47.77418899536133,7.563914775848389,121.31888580322266,24.4488582611084,36.43499374389648,136.46009826660156,26.36054039001465,100.33041381835938,77.08124542236328,25.337474822998047,74.98358917236328,45.40864944458008,67.85806274414062,167.3329315185547,61.07516098022461,92.54440307617188,96.9779815673828,85.20455169677734,33.71294021606445,36.566104888916016,21.72090721130371,45.955562591552734,53.023136138916016,0.724052906036377,30.21303939819336,19.826255798339844,53.253753662109375,45.30585861206055,47.62355041503906,25.490386962890625,49.55740737915039,55.09031295776367,29.64263916015625,131.28594970703125,94.57738494873048,60.52487564086914,65.90847778320312,28.322566986083984,46.967411041259766,38.19111251831055,48.414825439453125
2016-01-12,22.585325241088867,36.444129943847656,34.49452590942383,89.81999969482422,113.72947692871094,30.894500732421875,9.967838287353516,56.16624069213867,118.3102798461914,12.429553031921388,29.488460540771484,22.365005493164062,46.221336364746094,35.4588737487793,48.52931594848633,30.135522842407227,18.88156509399414,54.75654220581055,63.53370666503906,47.211421966552734,7.611301898956299,121.57357788085938,24.48927116394043,37.044830322265625,136.44361877441406,26.293701171875,101.69440460205078,77.66864013671875,25.827465057373047,75.49846649169922,45.50898742675781,67.96796417236328,169.3609619140625,61.570919036865234,93.13921356201172,98.82781982421876,85.44718933105469,34.20697784423828,36.92999267578125,21.72090721130371,46.3773307800293,53.37041091918945,0.7362504005432129,30.584875106811523,19.781587600708008,54.40019607543945,45.30585861206055,48.97433471679688,25.933860778808597,49.48861312866211,55.80538177490234,30.13231658935547,133.3202667236328,96.89046478271484,61.70609664916992,66.8719711303711,28.86258125305176,48.40900421142578,39.1594352722168,49.40691375732422
2016-01-13,22.0046501159668,34.36909103393555,33.72426223754883,88.30000305175781,109.70948028564452,29.090499877929688,9.460700988769531,54.81442260742188,114.90229034423828,12.09669017791748,28.503419876098636,21.3895320892334,44.64759826660156,34.18061065673828,47.96996688842773,29.19963836669922,18.32293701171875,54.2099723815918,62.42537307739258,48.278263092041016,7.226293563842773,119.87564086914062,24.6428337097168,35.764007568359375,130.91049194335938,25.44983291625977,96.8366241455078,76.04742431640625,25.21892547607422,74.56089782714844,44.25857925415039,67.03805541992188,166.59474182128906,58.739044189453125,91.29926300048828,94.91926574707033,84.14903259277344,31.17635726928711,36.1451530456543,20.52267074584961,45.375633239746094,52.3375358581543,0.7138069272041321,29.469396591186523,19.37957572937012,52.6036376953125,44.469825744628906,47.66473388671875,24.576847076416016,48.88471221923828,54.49697494506836,29.59454727172852,130.20556640625,94.27532196044922,59.7481803894043,65.1534652709961,27.71859741210937,44.22021865844727,37.9166259765625,49.70256805419922
2016-01-14,22.485912322998047,36.63887786865234,34.41080856323242,89.80000305175781,115.5169677734375,29.649999618530277,9.604935646057127,55.19816589355469,115.8708724975586,12.169759750366213,28.98029136657715,22.43585205078125,46.27233123779297,34.32429504394531,49.0571403503418,30.884233474731445,18.367631912231445,56.9694709777832,62.74934768676758,49.09832000732422,7.2203688621521,123.3564224243164,24.48927116394043,36.35149002075195,132.88662719726562,26.60284423828125,95.4167709350586,77.33186340332031,25.874887466430664,75.99803161621094,44.92237854003906,69.7770767211914,168.16433715820312,58.74745941162109,92.4888916015625,97.83328247070312,85.64129638671875,32.193946838378906,36.9585189819336,20.721111297607425,46.66730880737305,52.09714126586914,0.6994135975837708,30.083349227905277,19.851783752441406,55.42082214355469,44.559940338134766,48.5789794921875,24.94049453735352,49.4427375793457,53.561317443847656,29.93557357788086,132.17172241210938,95.59581756591795,61.0184211730957,65.541748046875,28.37230110168457,45.77742385864258,38.610469818115234,51.982364654541016
2016-01-15,21.945899963378903,38.505741119384766,33.941951751708984,89.16999816894531,114.1141357421875,28.50900077819824,9.20444393157959,54.86674118041992,112.66918182373048,11.739474296569824,27.97181701660156,21.738304138183597,45.74047470092773,32.123252868652344,47.756935119628906,29.469161987304688,17.592992782592773,55.769676208496094,62.34013748168945,47.37545394897461,7.090061187744141,120.93682861328124,23.89926528930664,35.312721252441406,128.12741088867188,25.77568817138672,95.1056900024414,76.17274475097656,23.519750595092773,74.54552459716797,44.02701568603516,68.67809295654297,167.83021545410156,58.20745468139648,91.3468780517578,94.45182037353516,84.13082122802734,30.542213439941406,36.48763656616211,19.82052421569824,44.80448913574219,51.251258850097656,0.6613569855690002,29.503990173339844,19.66034507751465,54.85459518432617,42.86785125732422,47.77180480957031,23.964868545532227,48.16615676879883,53.31028366088867,29.515846252441406,129.22239685058594,94.30985260009766,59.95854949951172,64.74360656738281,27.747011184692383,45.15862274169922,37.22280502319336,50.9705810546875
